lcl date,lcl time,utcofst,atvwpt,latitude,longitude,altind,baroa,altmsl,OAT,ias,gndspd,vspd,pitch,roll,latac,normac,hdg,trk,volt1,volt2,amp1,amp2,fqtyl,fqtyr,e1 fflow,e1 oilt,e1 oilp,e1 rpm,e1 cht1,e1 cht2,e1 cht3,e1 cht4,e1 egt1,e1 egt2,e1 egt3,e1 egt4,altgps,tas,hsis,crs,nav1,nav2,com1,com2,hcdi,vcdi,wndspd,wnddr,wptdst,wptbrg,magvar,afcson,rollm,pitchm,rollc,pichc,vspdg,gpsfix,hal,val,hplwas,hplfd,vplwas
2021-01-15,0 days 10:54:40,,,23.7509861,78.8567581,1683.2,29.91,1711.8,22.8,0.0,0.0,-16.0,2.46,0.26,0.01,-0.0,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.1,146.66,57.93,1010.8,313.45,333.96,319.18,321.3,1105.56,1080.9,1103.22,1129.58,1521.7,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,-3.9,,3704.0,,10.0,18.5,26.0
2021-01-15,0 days 10:54:41,,,23.7509861,78.8567581,1683.2,29.91,1712.4,22.8,0.0,0.0,-2.95,2.45,0.23,-0.0,-0.01,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.12,146.69,57.7,1002.2,313.49,334.01,319.24,321.34,1104.62,1080.38,1101.41,1128.12,1522.3,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.5,26.0
2021-01-15,0 days 10:54:42,,,23.7509861,78.8567581,1684.2,29.91,1713.2,22.8,0.0,0.0,10.47,2.43,0.26,0.0,-0.01,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.09,146.72,57.73,997.4,313.46,334.0,319.26,321.36,1104.08,1080.57,1104.82,1131.93,1523.1,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,3.9,,3704.0,,10.0,18.0,25.0
2021-01-15,0 days 10:54:43,,,23.7509861,78.8567581,1684.2,29.91,1713.2,22.8,0.0,0.0,7.59,2.43,0.25,-0.01,0.0,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.17,146.76,57.58,993.9,313.44,334.0,319.28,321.37,1105.02,1081.32,1104.77,1134.88,1523.1,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,25.0
2021-01-15,0 days 10:54:44,,,23.7509861,78.8567581,1683.2,29.91,1713.1,22.8,0.0,0.0,-10.42,2.48,0.21,-0.0,0.01,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.12,146.78,57.64,994.7,313.43,333.99,319.3,321.36,1105.14,1082.17,1099.02,1135.05,1523.0,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:45,,,23.7509861,78.8567581,1683.2,29.91,1713.1,22.8,0.0,0.0,-9.96,2.46,0.23,0.0,0.0,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.13,146.8,57.81,1001.9,313.4,333.99,319.31,321.37,1105.82,1082.06,1095.8,1137.21,1523.0,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.5,26.0
2021-01-15,0 days 10:54:46,,,23.7509861,78.8567581,1683.2,29.91,1714.1,22.8,0.0,0.0,-18.29,2.43,0.2,-0.0,-0.02,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.1,146.83,57.8,1001.9,313.37,333.98,319.32,321.38,1104.66,1082.93,1097.23,1134.97,1524.0,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:47,,,23.7509861,78.8567581,1683.2,29.91,1713.8,22.8,0.0,0.0,-15.66,2.44,0.2,-0.0,0.01,262.4,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.18,146.85,57.72,994.8,313.34,333.98,319.34,321.38,1102.42,1083.27,1101.3,1132.14,1523.7,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,26.0
2021-01-15,0 days 10:54:48,,,23.7509861,78.8567581,1683.2,29.91,1713.4,22.8,0.0,0.0,-17.72,2.47,0.19,-0.0,0.01,262.4,263.0,28.3,28.2,1.4,0.3,24.0,24.0,2.15,146.88,57.75,999.8,313.33,333.97,319.35,321.38,1102.11,1084.03,1100.73,1130.61,1523.3,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,25.0
2021-01-15,0 days 10:54:49,,,23.7509861,78.8567581,1683.2,29.91,1713.5,22.8,0.0,0.0,-16.08,2.47,0.2,0.0,0.01,262.5,263.0,28.2,28.2,1.4,0.3,24.0,24.0,2.11,146.9,57.77,1001.7,313.3,333.97,319.38,321.39,1101.28,1084.17,1099.46,1128.77,1523.4,0,,352.0,108.1,108.1,122.6,122.6,-0.02,,,,0.2,-23.5,0.3,,,,,,0.0,,3704.0,,10.0,18.0,25.0
